month,days,capacity_nights,occ_rate,occupied_nights,adr,gross_room_rev,commissions,net_room_rev,city_tax_collected,stays_turns,var_cleaning,fixed_opex,maint_reserve,total_opex,ebitda,ebit_after_capex_amort,scenario
2027-04-01,30,600,0.5154545454545456,309.27272727272737,88.53444796650548,27381.290180186523,3630.759077892734,23750.53110229379,2041.2000000000007,123.70909090909095,5566.909090909093,15500.0,475.0106220458758,21541.91971295497,2208.611389338821,-91.38861066117897,Prudente
2027-05-01,31,620,0.5890909090909092,365.2363636363637,92.15308270031764,33657.65682334511,4463.005294775562,29194.65152856955,2410.5600000000004,130.44155844155847,5869.870129870131,15500.0,583.893030571391,21953.763160441522,7240.888368128028,4940.888368128028,Prudente
2027-06-01,30,600,0.6136363636363638,368.18181818181824,93.28858330961913,34347.16021854159,4554.433444978616,29792.726773562976,2430.000000000001,122.72727272727275,5522.727272727274,15500.0,595.8545354712595,21618.58180819853,8174.144965364445,5874.144965364445,Prudente
2027-07-01,31,620,0.6381818181818183,395.67272727272734,94.39271975399946,37348.62485975521,4952.427656403542,32396.19720335167,2611.4400000000005,123.6477272727273,5564.147727272728,15500.0,647.9239440670334,21712.07167133976,10684.125532011909,8384.125532011909,Prudente
2027-08-01,31,620,0.5645454545454546,350.01818181818186,90.9839622796436,31846.041051734897,4222.785043460048,27623.25600827485,2310.120000000001,116.67272727272729,5250.272727272728,15500.0,552.465120165497,21302.737847438224,6320.518160836626,4020.5181608366256,Prudente
2027-09-01,30,600,0.46636363636363637,279.8181818181818,85.91570844703367,24040.777327269967,3187.807073595998,20852.970253673968,1846.8000000000002,107.62237762237761,4843.006993006992,15500.0,417.05940507347935,20760.06639808047,92.9038555934967,-2207.0961444065033,Prudente
2027-10-01,31,620,0.4172727272727273,258.70909090909095,83.09620149245238,21497.742746111002,2850.600688134319,18647.142057976682,1707.4800000000002,107.79545454545456,4850.795454545455,15500.0,372.94284115953366,20723.73829570499,-2076.5962377283067,-4376.596237728307,Prudente
2027-11-01,30,600,0.3436363636363637,206.18181818181822,78.39437571120745,16163.49491936532,2143.2794263078417,14020.215493057478,1360.8000000000004,93.71900826446281,4217.355371900827,15500.0,280.40430986114956,19997.759681761978,-5977.5441887045,-8277.5441887045,Prudente
2027-12-01,31,620,0.30436363636363645,188.7054545454546,75.5915065237291,14264.529598335994,1891.4766247393532,12373.052973596641,1245.4560000000004,89.85974025974028,4043.6883116883123,15500.0,247.46105947193283,19791.149371160245,-7418.096397563604,-9718.096397563604,Prudente
2026-01-01,31,620,0.3600000000000001,223.20000000000007,92.46369455022909,20637.89662361114,2736.5850922908376,17901.3115313203,1473.1200000000006,106.28571428571432,4782.857142857144,15500.0,358.02623062640606,20640.88337348355,-2739.571842163248,-5039.571842163248,Base
2026-02-01,28,560,0.3480000000000001,194.88000000000005,91.52806171032806,17836.988666108737,2365.184697126019,15471.803968982718,1286.2080000000005,97.44000000000003,4384.800000000001,15500.0,309.43607937965436,20194.236079379658,-4722.43211039694,-7022.43211039694,Base
2026-03-01,31,620,0.4500000000000001,279.00000000000006,98.86538145612161,27583.441426257934,3657.5643331218025,23925.877093136132,1841.4000000000005,126.81818181818183,5706.818181818182,15500.0,478.5175418627227,21685.335723680906,2240.5413694552262,-59.45863054477377,Base
2026-04-01,30,600,0.6300000000000002,378.0000000000001,109.36608278215384,41340.379291654164,5481.734294073343,35858.64499758082,2494.800000000001,151.20000000000005,6804.000000000002,15500.0,717.1728999516164,23021.172899951616,12837.472097629205,10537.472097629205,Base
2026-05-01,31,620,0.7200000000000002,446.40000000000015,113.83616098274533,50816.46226269753,6738.262896033694,44078.19936666384,2946.240000000001,159.4285714285715,7174.285714285717,15500.0,881.5639873332767,23555.849701618994,20522.349665044843,18222.349665044843,Base
2026-06-01,30,600,0.7500000000000001,450.00000000000006,115.2388382060001,51857.47719270005,6876.301475752028,44981.17571694802,2970.000000000001,150.00000000000003,6750.000000000001,15500.0,899.6235143389604,23149.62351433896,21831.55220260906,19531.55220260906,Base
2026-07-01,31,620,0.7800000000000002,483.60000000000014,116.60277146082286,56389.10027845395,7477.194696922996,48911.905581530955,3191.760000000001,151.12500000000003,6800.625000000001,15500.0,978.2381116306191,23278.86311163062,25633.042469900334,23333.042469900334,Base
2026-08-01,31,620,0.6900000000000001,427.8,112.39195340426564,48081.27766634484,6375.577418557326,41705.700247787514,2823.4800000000005,142.6,6417.0,15500.0,834.1140049557503,22751.11400495575,18954.586242831763,16654.586242831763,Base
2026-09-01,30,600,0.5700000000000001,342.00000000000006,106.13116925810041,36296.85988627035,4812.96362091945,31483.8962653509,2257.2000000000007,131.53846153846155,5919.2307692307695,15500.0,629.677925307018,22048.908694537786,9434.987570813115,7134.987570813115,Base
2026-10-01,31,620,0.5100000000000001,316.2000000000001,102.64824890244118,32457.37630295191,4303.848097771424,28153.528205180486,2086.920000000001,131.75000000000006,5928.750000000003,15500.0,563.0705641036097,21991.820564103615,6161.707641076871,3861.7076410768714,Base
2026-11-01,30,600,0.42000000000000004,252.00000000000003,96.84011117266802,24403.708015512344,3235.931682856937,21167.776332655405,1663.2000000000003,114.54545454545455,5154.545454545455,15500.0,423.3555266531081,21077.900981198563,89.8753514568416,-2210.1246485431584,Base
2026-12-01,31,620,0.3720000000000001,230.64000000000007,93.37774335284183,21536.64272689945,2855.7588255868673,18680.88390131258,1522.2240000000006,109.82857142857146,4942.285714285716,15500.0,373.6176780262516,20815.903392311968,-2135.019490999388,-4435.019490999388,Base
2027-01-01,31,620,0.3600000000000001,223.20000000000007,92.46369455022909,20637.89662361114,2736.5850922908376,17901.3115313203,1473.1200000000006,106.28571428571432,4782.857142857144,15500.0,358.02623062640606,20640.88337348355,-2739.571842163248,-5039.571842163248,Base
2027-02-01,28,560,0.3480000000000001,194.88000000000005,91.52806171032806,17836.988666108737,2365.184697126019,15471.803968982718,1286.2080000000005,97.44000000000003,4384.800000000001,15500.0,309.43607937965436,20194.236079379658,-4722.43211039694,-7022.43211039694,Base
2027-03-01,31,620,0.4500000000000001,279.00000000000006,98.86538145612161,27583.441426257934,3657.5643331218025,23925.877093136132,1841.4000000000005,126.81818181818183,5706.818181818182,15500.0,478.5175418627227,21685.335723680906,2240.5413694552262,-59.45863054477377,Base
2027-04-01,30,600,0.6300000000000002,378.0000000000001,109.36608278215384,41340.379291654164,5481.734294073343,35858.64499758082,2494.800000000001,151.20000000000005,6804.000000000002,15500.0,717.1728999516164,23021.172899951616,12837.472097629205,10537.472097629205,Base
2027-05-01,31,620,0.7200000000000002,446.40000000000015,113.83616098274533,50816.46226269753,6738.262896033694,44078.19936666384,2946.240000000001,159.4285714285715,7174.285714285717,15500.0,881.5639873332767,23555.849701618994,20522.349665044843,18222.349665044843,Base
2027-06-01,30,600,0.7500000000000001,450.00000000000006,115.2388382060001,51857.47719270005,6876.301475752028,44981.17571694802,2970.000000000001,150.00000000000003,6750.000000000001,15500.0,899.6235143389604,23149.62351433896,21831.55220260906,19531.55220260906,Base
2027-07-01,31,620,0.7800000000000002,483.60000000000014,116.60277146082286,56389.10027845395,7477.194696922996,48911.905581530955,3191.760000000001,151.12500000000003,6800.625000000001,15500.0,978.2381116306191,23278.86311163062,25633.042469900334,23333.042469900334,Base
2027-08-01,31,620,0.6900000000000001,427.8,112.39195340426564,48081.27766634484,6375.577418557326,41705.700247787514,2823.4800000000005,142.6,6417.0,15500.0,834.1140049557503,22751.11400495575,18954.586242831763,16654.586242831763,Base
2027-09-01,30,600,0.5700000000000001,342.00000000000006,106.13116925810041,36296.85988627035,4812.96362091945,31483.8962653509,2257.2000000000007,131.53846153846155,5919.2307692307695,15500.0,629.677925307018,22048.908694537786,9434.987570813115,7134.987570813115,Base
2027-10-01,31,620,0.5100000000000001,316.2000000000001,102.64824890244118,32457.37630295191,4303.848097771424,28153.528205180486,2086.920000000001,131.75000000000006,5928.750000000003,15500.0,563.0705641036097,21991.820564103615,6161.707641076871,3861.7076410768714,Base
